id,name,type,synonyms
HP:0000001,All,Phenotype,
HP:0000002,Abnormality of body height,Phenotype,
HP:0000003,Multicystic kidney dysplasia,Phenotype,Multicystic dysplastic kidney | Multicystic kidneys | Multicystic renal dysplasia
HP:0000005,Mode of inheritance,Phenotype,Inheritance
HP:0000006,Autosomal dominant inheritance,Phenotype,Autosomal dominant | monoallelic_autosomal | Autosomal dominant form | Autosomal dominant type
HP:0000007,Autosomal recessive inheritance,Phenotype,Autosomal recessive | biallelic_autosomal | Autosomal recessive form | Autosomal recessive predisposition
HP:0000008,Abnormal morphology of female internal genitalia,Phenotype,Abnormality of female internal genitalia
HP:0000009,Functional abnormality of the bladder,Phenotype,Poor bladder function
HP:0000010,Recurrent urinary tract infections,Phenotype,"Frequent urinary tract infections | Recurrent UTIs | Repeated bladder infections | Repeated urinary tract infections | Urinary tract infections | Urinary tract infections, recurrent"
HP:0000011,Neurogenic bladder,Phenotype,Lack of bladder control due to nervous system injury
HP:0000012,Urinary urgency,Phenotype,Overactive bladder | Urgent micturition | Overactive bladder syndrome | Urgency frequency syndrome
HP:0000013,Hypoplasia of the uterus,Phenotype,Hypoplastic uterus | Rudimentary uterus | Small uterus | Underdeveloped uterus
HP:0000014,Abnormality of the bladder,Phenotype,
HP:0000015,Bladder diverticulum,Phenotype,Bladder diverticula
HP:0000016,Urinary retention,Phenotype,Increased post-void residual urine volume
HP:0000017,Nocturia,Phenotype,Nycturia
HP:0000019,Urinary hesitancy,Phenotype,Difficulty with flow
HP:0000020,Urinary incontinence,Phenotype,Bladder incontinence | Loss of bladder control
HP:0000021,Megacystis,Phenotype,
HP:0000022,Abnormal male internal genitalia morphology,Phenotype,
HP:0000023,Inguinal hernia,Phenotype,
HP:0000024,Prostatitis,Phenotype,Inflammation of the prostate
HP:0000025,Functional abnormality of male internal genitalia,Phenotype,
HP:0000026,Male hypogonadism,Phenotype,Decreased function of male gonad
HP:0000027,Azoospermia,Phenotype,Absent sperm in semen
HP:0000028,Cryptorchidism,Phenotype,Cryptorchism | Undescended testes | Undescended testis
HP:0000029,Testicular atrophy,Phenotype,Testicular degeneration
HP:0000030,Testicular gonadoblastoma,Phenotype,"Gonadoblastoma, male"
HP:0000031,Epididymitis,Phenotype,
HP:0000032,Abnormal male external genitalia morphology,Phenotype,Abnormality of male external genitalia
HP:0000033,"Ambiguous genitalia, male",Phenotype,Ambiguous genitalia in males
HP:0000034,Hydrocele testis,Phenotype,Hydrocele | Testicular hydrocele
HP:0000035,Abnormal testis morphology,Phenotype,Abnormality of the testis | Anomaly of the testes
HP:0000036,Abnormal penis morphology,Phenotype,Abnormality of the penis
HP:0000037,Male pseudohermaphroditism,Phenotype,
HP:0000039,Epispadias,Phenotype,
HP:0000040,Long penis,Phenotype,Enlarged penis
HP:0000041,Chordee,Phenotype,
HP:0000042,Absent external genitalia,Phenotype,
HP:0000044,Hypogonadotropic hypogonadism,Phenotype,Hypogonadotrophic hypogonadism | Low gonadotropins (secondary hypogonadism) | Isolated hypogonadotropic hypogonadism
HP:0000045,Abnormal scrotum morphology,Phenotype,Abnormality of the scrotum
HP:0000046,Small scrotum,Phenotype,Hypoplastic scrotum | Scrotal hypoplasia | Smaller than typical growth of scrotum | Underdeveloped scrotum
HP:0000047,Hypospadias,Phenotype,Hypospadia
HP:0000048,Bifid scrotum,Phenotype,Cleft of scrotum | Scrotal cleft
HP:0000049,Shawl scrotum,Phenotype,Overriding scrotum | Scrotum surrounds penis
HP:0000050,Hypoplastic male external genitalia,Phenotype,Hypoplastic male genitalia | Small male external genitalia | Underdeveloped male genitalia
HP:0000051,Perineal hypospadias,Phenotype,
HP:0000052,"Urethral atresia, male",Phenotype,
HP:0000053,Macroorchidism,Phenotype,Large testicles | Large testis
HP:0000054,Micropenis,Phenotype,Short penis | Small penis
HP:0000055,Abnormal female external genitalia morphology,Phenotype,Abnormal female external genitalia | Abnormality of female external genitalia
HP:0000056,Abnormal clitoris morphology,Phenotype,Abnormality of the clit | Abnormality of the clitoris
HP:0000057,obsolete Clitoromegaly,Phenotype,
HP:0000058,Abnormal labia morphology,Phenotype,Abnormality of the labia
HP:0000059,Hypoplastic labia majora,Phenotype,Hypoplasia of labia majora | Small labia majora | Underdeveloped vaginal lips
HP:0000060,Clitoral hypoplasia,Phenotype,Hypoplastic clitoris | Small clitoris | Underdeveloped clit
HP:0000061,"Ambiguous genitalia, female",Phenotype,Atypical appearance of female genitals | Ambiguous genitalia due to virilization
HP:0000062,Ambiguous genitalia,Phenotype,Ambiguous external genitalia | Ambiguous external genitalia at birth | Intersex genitalia
HP:0000063,Fused labia minora,Phenotype,Fused inner lips
HP:0000064,Hypoplastic labia minora,Phenotype,Underdeveloped inner lips
HP:0000065,Labial hypertrophy,Phenotype,Enlarged vaginal lips | Enlargement of the labia | Enlargement of the vaginal lips
HP:0000066,Labial hypoplasia,Phenotype,Hypoplastic labia | Underdeveloped labia
HP:0000067,"Urethral atresia, female",Phenotype,
HP:0000068,Urethral atresia,Phenotype,Absent urethral opening | Urethral opening absent
HP:0000069,Abnormality of the ureter,Phenotype,Abnormality of the ureters | Ureter issue | Ureteral anomalies
HP:0000070,Ureterocele,Phenotype,
HP:0000071,Ureteral stenosis,Phenotype,Narrowing of the ureter | Ureteric stenosis
HP:0000072,Hydroureter,Phenotype,Dilated ureter | Megaureter | Swelling of ureter | Ureteral dilatation | Wide ureter | Uroureter
HP:0000073,Ureteral duplication,Phenotype,Double ureter
HP:0000074,Ureteropelvic junction obstruction,Phenotype,Pelviureteric junction obstruction | Ureteropelvic junction stenosis
HP:0000075,Renal duplication,Phenotype,Duplex kidney | Duplicated kidney | Extra kidney | Supernumerary kidney
HP:0000076,Vesicoureteral reflux,Phenotype,Ureteral reflux | Ureteric reflux | VUR | Vesico-ureteral reflux | Vesicoureteric reflux
HP:0000077,Abnormality of the kidney,Phenotype,Abnormal kidney | Renal anomalies | Renal anomaly
HP:0000078,Abnormality of the genital system,Phenotype,Genital abnormalities | Genital abnormality | Genital anomalies | Genital defects | Abnormality of the reproductive system
HP:0000079,Abnormality of the urinary system,Phenotype,Urinary tract abnormalities | Urinary tract abnormality | Urinary tract anomalies
HP:0000080,Abnormality of reproductive system physiology,Phenotype,Abnormality of genital physiology | Genital functional abnormality
HP:0000081,Duplicated collecting system,Phenotype,Double collecting system | Double urinary collecting systems on intravenous pyelography | Duplex collecting system | Duplicated renal collecting system
HP:0000083,Renal insufficiency,Phenotype,Renal failure | Renal failure in adulthood
HP:0000085,Horseshoe kidney,Phenotype,Fused kidneys | Horseshoe kidneys
HP:0000086,Ectopic kidney,Phenotype,Abnormal kidney location | Displaced kidney | Ectopic kidneys | Renal ectopia
HP:0000089,Renal hypoplasia,Phenotype,Hypoplastic kidney | Hypoplastic kidneys | Small kidneys | Underdeveloped kidneys
HP:0000090,Nephronophthisis,Phenotype,juvenile nephronophthisis
HP:0000091,Abnormal renal tubule morphology,Phenotype,Abnormality of the renal tubule | Morphologic abnormality of the renal tubules
HP:0000092,Renal tubular atrophy,Phenotype,Renal tubular cell atrophy | Tubular atrophy
HP:0000093,Proteinuria,Phenotype,High urine protein levels | Protein in urine
HP:0000095,Abnormal renal glomerulus morphology,Phenotype,Abnormality of renal glomerulus morphology | Morphologic abnormality of the renal glomerulus
HP:0000096,Glomerular sclerosis,Phenotype,Renal glomerular fibrosis | Glomerulosclerosis
HP:0000097,Focal segmental glomerulosclerosis,Phenotype,Focal and segmental glomerular sclerosis | Focal and segmental glomerulosclerosis | focal glomerulosclerosis
HP:0000098,Tall stature,Phenotype,Accelerated linear growth | Increased body height | Increased linear growth
HP:0000099,Glomerulonephritis,Phenotype,Glomerular nephritis
